provider,case_id,interviewer,emotion,structure,target_words,json_valid,has_parts_key,parts_count_correct,roles_correct,word_count_mae,no_forbidden_punct,latency_s,input_tokens,output_tokens,cost_usd,style_cosine,judge_style,judge_language,judge_emotion,judge_overall,judge_mean,judge_comment
openai/gpt-4o,pozner_19_question_empathy,pozner,empathy,question,28,True,True,True,True,17,True,1.06,772,32,0.00225,0.3533,4.0,5.0,3.0,4.0,4.0,"Реплика корректна, но не полностью отражает сочувствие."
openai/gpt-4o,pozner_20_bridge_question_transition,pozner,neutral,bridge+question,50,True,True,True,True,23,True,1.493,814,63,0.002665,0.1683,5.0,5.0,5.0,5.0,5.0,Реплика полностью соответствует стилю и тону Владимира Познера.
openai/gpt-4o-mini,dud_01_question_neutral_followup,dud,neutral,question,12,True,True,True,True,1,True,1.974,846,28,0.000144,0.3822,5.0,5.0,5.0,5.0,5.0,"Реплика полностью соответствует стилю, языку и эмоциональному тону интервьюера."
openai/gpt-4o-mini,dud_02_question_challenge_why,dud,challenge,question,12,True,True,True,True,4,True,1.122,810,22,0.000135,0.5332,3.0,5.0,2.0,3.0,3.25,"Реплика корректна, но недостаточно провокационна для стиля Дудя."
openai/gpt-4o-mini,dud_03_ack_question_empathy,dud,empathy,acknowledgment+question,20,True,True,True,True,6,True,6.255,859,43,0.000155,0.5274,4.0,5.0,5.0,5.0,4.75,Реплика хорошо передает сочувствие и соответствует стилю Юрия Дудя.
openai/gpt-4o-mini,dud_04_question_commentary,dud,commentary,question,8,True,True,True,True,3,True,2.001,784,18,0.000128,0.5364,3.0,5.0,2.0,3.0,3.25,Реплика не соответствует требуемой эмоции одобрения.
openai/gpt-4o-mini,dud_05_paraphrase_question_neutral,dud,neutral,paraphrase+question,24,True,True,True,True,6,True,2.832,867,55,0.000163,0.3278,3.0,5.0,5.0,4.0,4.25,"Реплика нейтральная и грамматически правильная, но немного формальна для стиля Дудя."
openai/gpt-4o-mini,dud_06_question_challenge_factcheck,dud,challenge,question,10,True,True,True,True,1,True,1.3,792,24,0.000133,0.1967,5.0,5.0,5.0,5.0,5.0,"Реплика отлично соответствует стилю, языку и эмоциональной окраске интервьюера."
openai/gpt-4o-mini,dud_07_bridge_question_transition,dud,neutral,bridge+question,22,True,True,True,True,6,True,1.97,812,46,0.000149,0.2301,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю и тону, но могла бы быть более прямолинейной."
openai/gpt-4o-mini,sobchak_08_question_challenge,sobchak,challenge,question,14,True,True,True,True,5,True,1.18,767,26,0.000131,0.4638,3.0,5.0,3.0,3.0,3.5,"Реплика корректна, но недостаточно провокационна для стиля Собчак."
openai/gpt-4o-mini,sobchak_09_question_neutral_transition,sobchak,neutral,question,14,True,True,True,True,4,True,1.037,784,32,0.000137,0.2643,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю и эмоции, но могла бы быть более провокационной."
openai/gpt-4o-mini,sobchak_10_ack_question_empathy,sobchak,empathy,acknowledgment+question,26,True,True,True,True,6,True,1.905,800,55,0.000153,0.3351,3.0,5.0,4.0,4.0,4.0,"Реплика сочувственная, но не полностью соответствует провокационному стилю Собчак."
openai/gpt-4o-mini,sobchak_11_question_challenge_opinion,sobchak,challenge,question,14,True,True,True,True,3,True,0.885,779,29,0.000134,0.5668,4.0,5.0,4.0,4.0,4.25,"Реплика соответствует стилю и эмоции, но могла бы быть более провокационной."
openai/gpt-4o-mini,sobchak_12_paraphrase_question_neutral,sobchak,neutral,paraphrase+question,26,True,True,True,True,9,True,1.948,819,53,0.000155,0.2799,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю Собчак и нейтральной эмоции, но могла бы быть более провокационной."
openai/gpt-4o-mini,sobchak_13_question_challenge_factcheck,sobchak,challenge,question,14,True,True,True,True,5,True,0.9,786,26,0.000133,0.5363,4.0,5.0,4.0,4.0,4.25,"Реплика соответствует стилю и эмоции, но могла бы быть более провокационной."
openai/gpt-4o-mini,sobchak_14_bridge_question_transition,sobchak,neutral,bridge+question,26,True,True,True,True,6,True,1.783,792,55,0.000152,0.3154,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю и эмоции, но слегка отклоняется от провокационного характера."
openai/gpt-4o-mini,pozner_15_question_neutral_values,pozner,neutral,question,28,True,True,True,True,12,True,1.154,797,36,0.000141,0.4251,5.0,5.0,5.0,5.0,5.0,Реплика полностью соответствует стилю и тону интервьюера.
openai/gpt-4o-mini,pozner_16_paraphrase_question_neutral,pozner,neutral,paraphrase+question,50,True,True,True,True,22,False,1.501,830,68,0.000165,0.3181,4.0,5.0,5.0,5.0,4.75,"Реплика соответствует стилю Познера и нейтральному тону, грамматически корректна."
openai/gpt-4o-mini,pozner_17_text_question_opinion,pozner,neutral,text+question,50,True,True,True,True,23,True,1.599,810,65,0.00016,0.2215,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю Познера, но могла бы быть более аналитической."
openai/gpt-4o-mini,pozner_18_question_neutral_background,pozner,neutral,question,28,True,True,True,True,9,True,1.476,780,45,0.000144,0.291,5.0,5.0,5.0,5.0,5.0,Реплика полностью соответствует стилю и тону Владимира Познера.
openai/gpt-4o-mini,pozner_19_question_empathy,pozner,empathy,question,28,True,True,True,True,13,True,0.994,772,36,0.000137,0.3373,4.0,5.0,3.0,4.0,4.0,"Реплика соответствует стилю Познера, но недостаточно эмпатична."
openai/gpt-4o-mini,pozner_20_bridge_question_transition,pozner,neutral,bridge+question,50,True,True,True,True,27,True,1.522,814,57,0.000156,0.2492,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю Познера, но немного отклоняется от темы, заданной гостем."
