test_index,test_id,model,reference,generated,missing_generated,bertscore_f1,emb_cosine,char_ratio,style_cosine
8,test9.txt,gpt_chroma_qa_temp_0_7,Дудь: 9. Ты позвонила?,А что тебя вдохновляло в эти моменты?,0,0.671367,0.242987,0.237288,0.518983
9,test9_10.txt,gpt_chroma_qa_temp_0_7,Дудь: 10. А что ты увидела в Казахстане?,Почему именно секвои произвели на тебя такое впечатление?,0,0.659899,0.300270,0.309278,0.626415
10,test9_11.txt,gpt_chroma_qa_temp_0_7,"Дудь: 11. Ты стала к ней ходить как к человеку, который может помочь разобраться в себе?","Слушай, а как она сочетает эти роли?",0,0.678287,0.418575,0.322581,0.565755
11,test9_12.txt,gpt_chroma_qa_temp_0_7,Дудь: 12. А это совпало с реализацией в профессии?,А как это сказалось на твоей уверенности?,0,0.741884,0.416392,0.461538,0.496973
0,test1.txt,gpt_faiss_qa_temp_0_3,"Дудь: 1. Как ты думаешь, почему так получилось?",Почему ты согласилась на продолжение?,0,0.695001,0.607413,0.357143,0.531956
1,test2.txt,gpt_faiss_qa_temp_0_3,Дудь: 2. Почему ты развелась?,Почему вы решили работать с Борей Хлебниковым?,0,0.715587,0.217563,0.400000,0.507401
2,test3.txt,gpt_faiss_qa_temp_0_3,Дудь: 3. Кто сказал первым всё?,"Почему ты решила попробовать снова, несмотря на всё это?",0,0.689222,0.285038,0.298851,0.459961
3,test4.txt,gpt_faiss_qa_temp_0_3,Дудь: 4. И ты грустишь из-за этого?,Почему вы не общаетесь?,0,0.715602,0.344635,0.241379,0.421079
4,test5.txt,gpt_faiss_qa_temp_0_3,Дудь: 5. Как у тебя изменилось в последние годы твоя жизнь с точки зрения кэша? Стала ли ты состоятельной леди?,"Слушай, а как ты выбираешь бренды для рекламы?",0,0.672567,0.262142,0.152866,0.271763
5,test6.txt,gpt_faiss_qa_temp_0_3,"Дудь: 6. Забиралась ли ты в мобильничек когда-нибудь либо к парню, либо к мужу?",Почему ты так уверена в этом?,0,0.624329,0.261995,0.259259,0.509331
6,test7.txt,gpt_faiss_qa_temp_0_3,Дудь: 7. Ты прощала измену?,А что стало причиной разрыва?,0,0.697683,0.302335,0.285714,0.344403
7,test8.txt,gpt_faiss_qa_temp_0_3,"Дудь: 8. Ты не считаешь проблемой, когда у человека нет актёрского образования?",А как она попала в сериалы?,0,0.673281,0.237510,0.169811,0.417606
8,test9.txt,gpt_faiss_qa_temp_0_3,Дудь: 9. Ты позвонила?,Что за моменты были самые сложные?,0,0.667783,0.185505,0.250000,0.348522
9,test9_10.txt,gpt_faiss_qa_temp_0_3,Дудь: 10. А что ты увидела в Казахстане?,А какие ещё места тебя впечатлили?,0,0.685550,0.437587,0.270270,0.503431
10,test9_11.txt,gpt_faiss_qa_temp_0_3,"Дудь: 11. Ты стала к ней ходить как к человеку, который может помочь разобраться в себе?",А ты сам как бы с кем-то из них общался?,0,0.668617,0.649342,0.250000,0.575034
11,test9_12.txt,gpt_faiss_qa_temp_0_3,Дудь: 12. А это совпало с реализацией в профессии?,А что для тебя значит быть высокой?,0,0.696396,0.278494,0.352941,0.451623
0,test1.txt,gpt_faiss_qa_temp_0_7,"Дудь: 1. Как ты думаешь, почему так получилось?",Что тебя привлекает в этих ролях?,0,0.653030,0.407201,0.275000,0.539763
1,test2.txt,gpt_faiss_qa_temp_0_7,Дудь: 2. Почему ты развелась?,"Ты часто играешь роли, близкие к своему опыту?",0,0.643312,0.225666,0.213333,0.522381
2,test3.txt,gpt_faiss_qa_temp_0_7,Дудь: 3. Кто сказал первым всё?,Что было самым сложным в этом процессе?,0,0.695069,0.320406,0.314286,0.334096
3,test4.txt,gpt_faiss_qa_temp_0_7,Дудь: 4. И ты грустишь из-за этого?,А ты не планируешь возобновить общение?,0,0.716104,0.451551,0.324324,0.566971
4,test5.txt,gpt_faiss_qa_temp_0_7,Дудь: 5. Как у тебя изменилось в последние годы твоя жизнь с точки зрения кэша? Стала ли ты состоятельной леди?,А что с качеством постов?,0,0.647714,0.301838,0.176471,0.347680
5,test6.txt,gpt_faiss_qa_temp_0_7,"Дудь: 6. Забиралась ли ты в мобильничек когда-нибудь либо к парню, либо к мужу?",Почему ты так уверена в этом?,0,0.624329,0.261995,0.259259,0.509331
6,test7.txt,gpt_faiss_qa_temp_0_7,Дудь: 7. Ты прощала измену?,Почему вернулась?,0,0.724478,0.563613,0.227273,0.529109
7,test8.txt,gpt_faiss_qa_temp_0_7,"Дудь: 8. Ты не считаешь проблемой, когда у человека нет актёрского образования?",А почему она тогда снимается в сериалах?,0,0.681858,0.355063,0.268908,0.482330
8,test9.txt,gpt_faiss_qa_temp_0_7,Дудь: 9. Ты позвонила?,"Что это за моменты были, когда ты всё расчехляла?",0,0.701207,0.344934,0.225352,0.595223
9,test9_10.txt,gpt_faiss_qa_temp_0_7,Дудь: 10. А что ты увидела в Казахстане?,А какие ещё места впечатлили тебя так же сильно?,0,0.675412,0.423831,0.227273,0.539596
10,test9_11.txt,gpt_faiss_qa_temp_0_7,"Дудь: 11. Ты стала к ней ходить как к человеку, который может помочь разобраться в себе?",А что для неё значит быть другом?,0,0.701979,0.427255,0.247934,0.286148
11,test9_12.txt,gpt_faiss_qa_temp_0_7,Дудь: 12. А это совпало с реализацией в профессии?,А как близкие на это реагировали?,0,0.731494,0.427904,0.337349,0.528111
0,test1.txt,gpt_only_temp_0_7,"Дудь: 1. Как ты думаешь, почему так получилось?","Интервьюер: А ты не боишься, что за такой выбор ролей к тебе могут начать приклеивать ярлык, типа «актрисы-очередной жены», и как с этим справляться?",0,0.636332,0.336092,0.234694,0.450310
1,test2.txt,gpt_only_temp_0_7,Дудь: 2. Почему ты развелась?,"Интервьюер: Получается, вы оба в какой-то момент по сути играли свои собственные переживания?",0,0.681922,0.426323,0.245902,0.602516
2,test3.txt,gpt_only_temp_0_7,Дудь: 3. Кто сказал первым всё?,"Интервьюер: А что, по-твоему, помогает людям распутать этот клубок эмоций и не терять себя в отношениях?",0,0.664718,0.143743,0.118519,0.391751
3,test4.txt,gpt_only_temp_0_7,Дудь: 4. И ты грустишь из-за этого?,Интервьюер: А почему так вышло?,0,0.688398,0.375182,0.303030,0.626048
4,test5.txt,gpt_only_temp_0_7,Дудь: 5. Как у тебя изменилось в последние годы твоя жизнь с точки зрения кэша? Стала ли ты состоятельной леди?,"Интервьюер: А как ты выбираешь, с кем работать, чтобы не потерять свою аудиторию?",0,0.667074,0.228786,0.229167,0.423320
5,test6.txt,gpt_only_temp_0_7,"Дудь: 6. Забиралась ли ты в мобильничек когда-нибудь либо к парню, либо к мужу?","Интервьюер: Слушай, а тебе не кажется, что это просто идеальная картинка, которую мы все пытаемся нарисовать, чтобы оправдать свои страхи и неуверенности?",0,0.634645,0.187111,0.206009,0.500286
6,test7.txt,gpt_only_temp_0_7,Дудь: 7. Ты прощала измену?,"Интервьюер: Как вы себя чувствовали, когда принимали это решение?",0,0.715843,0.560614,0.304348,0.521371
7,test8.txt,gpt_only_temp_0_7,"Дудь: 8. Ты не считаешь проблемой, когда у человека нет актёрского образования?","Интервьюер: А ты как к этому относишься, когда без образования снимаются?",0,0.738675,0.565327,0.407895,0.435059
8,test9.txt,gpt_only_temp_0_7,Дудь: 9. Ты позвонила?,Интервьюер: И что это за расчехления такие? Ты прям в процессе каких-то внутренних изменений была?,0,0.700093,0.388811,0.250000,0.603607
9,test9_10.txt,gpt_only_temp_0_7,Дудь: 10. А что ты увидела в Казахстане?,"Интервьюер: А что в Казахстане тебя больше всего поразило — горы, степи или, может, что-то другое?",0,0.722272,0.808212,0.318841,0.403604
10,test9_11.txt,gpt_only_temp_0_7,"Дудь: 11. Ты стала к ней ходить как к человеку, который может помочь разобраться в себе?","Интервьюер: А если бы вам нужно было описать её стиль работы в трёх словах, то какими бы они были?",0,0.664251,0.467260,0.311828,0.447897
11,test9_12.txt,gpt_only_temp_0_7,Дудь: 12. А это совпало с реализацией в профессии?,"Интервьюер: Ты говоришь о любви к себе, но как ты справилась с мнением окружающих, когда все вокруг пытались навязать свои стандарты красоты?",0,0.688618,0.321078,0.209424,0.419466
0,test1.txt,qwen_chroma_cases_templates_temp_0_7,"Дудь: 1. Как ты думаешь, почему так получилось?","Да. А эти четыре роли жены с разными взаимоотношениями, они тебя как-то утомляют?",0,0.621294,0.361432,0.234375,0.369576
1,test2.txt,qwen_chroma_cases_templates_temp_0_7,Дудь: 2. Почему ты развелась?,Это же был такой сложный период в твоей жизни?,0,0.646084,0.331259,0.186667,0.478579
2,test3.txt,qwen_chroma_cases_templates_temp_0_7,Дудь: 3. Кто сказал первым всё?,"Пришёл или не пришёл домой? Ну... это всё как доказательство себе, типа?",0,0.660512,0.482187,0.194175,0.749326
3,test4.txt,qwen_chroma_cases_templates_temp_0_7,Дудь: 4. И ты грустишь из-за этого?,Ты типа не про страхи и опасения за будущее?,0,0.686120,0.480636,0.253165,0.443434
4,test5.txt,qwen_chroma_cases_templates_temp_0_7,Дудь: 5. Как у тебя изменилось в последние годы твоя жизнь с точки зрения кэша? Стала ли ты состоятельной леди?,Так? А у тебя есть лимит по рекламным постам в месяц?,0,0.687538,0.270337,0.292683,0.330047
5,test6.txt,qwen_chroma_cases_templates_temp_0_7,"Дудь: 6. Забиралась ли ты в мобильничек когда-нибудь либо к парню, либо к мужу?","Да? Бывают ли девушки, которые не хотят видеться с твоим телефоном, и при этом у них нормальные отношения?",0,0.647441,0.511816,0.248649,0.217514
6,test7.txt,qwen_chroma_cases_templates_temp_0_7,Дудь: 7. Ты прощала измену?,Как ты это объясняешь? Зачем вернулась к мужу?,0,0.692891,0.487150,0.246575,0.502170
7,test8.txt,qwen_chroma_cases_templates_temp_0_7,"Дудь: 8. Ты не считаешь проблемой, когда у человека нет актёрского образования?",Ты точно не ходила в актёрское училище?,0,0.745574,0.714929,0.389831,0.428032
8,test9.txt,qwen_chroma_cases_templates_temp_0_7,Дудь: 9. Ты позвонила?,Какие именно расчехления моменты тебе помогли улучшить отношения?,0,0.647575,0.149562,0.229885,0.301648
9,test9_10.txt,qwen_chroma_cases_templates_temp_0_7,Дудь: 10. А что ты увидела в Казахстане?,Да? А ты уже бывала среди этих огромных секвой в штатах?,0,0.711248,0.380375,0.354167,0.461455
10,test9_11.txt,qwen_chroma_cases_templates_temp_0_7,"Дудь: 11. Ты стала к ней ходить как к человеку, который может помочь разобраться в себе?",Ты практикуешь как психолог или как учитель Рейки в церкви?,0,0.684228,0.402128,0.340136,0.371483
11,test9_12.txt,qwen_chroma_cases_templates_temp_0_7,Дудь: 12. А это совпало с реализацией в профессии?,В конкретном плане? В каком аспекте это начало меняться?,0,0.679500,0.459065,0.264151,0.419647
0,test1.txt,qwen_only_cases,"Дудь: 1. Как ты думаешь, почему так получилось?","Просто ты такая разноплановая актриса, Ира, вроде можешь сыграть что угодно, но вот эти роли тебе просто нипочём. А потом говоришь - амплуа такое есть, и оно тебя тянет. Как же ты это все с平衡状态： 根据提供的信息，接下来的问题应该延续前一个问题的风格，并且保持与原问题相同的一句话长度。因此，以下问题是符合要求的：  Гость: Юр, иногда выбирать не из чего, просто, вот?",0,0.594014,0.472730,0.101983,0.631601
1,test2.txt,qwen_only_cases,Дудь: 2. Почему ты развелась?,Так ты и Санин персонаж — один в один?,0,0.659237,0.356720,0.238806,0.654195
2,test3.txt,qwen_only_cases,Дудь: 3. Кто сказал первым всё?,"Но ты потом пришла к выводу, что это всё-таки не стоит делать?",0,0.657778,0.339910,0.215054,0.574315
3,test4.txt,qwen_only_cases,Дудь: 4. И ты грустишь из-за этого?,Ты вообще знаешь что-то о его мыслях или чувствах сейчас?,0,0.691415,0.327964,0.217391,0.400534
4,test5.txt,qwen_only_cases,Дудь: 5. Как у тебя изменилось в последние годы твоя жизнь с точки зрения кэша? Стала ли ты состоятельной леди?,А как тебе это удается? Не тяжело балансировать между рекламой и личным контентом?,0,0.638980,0.331493,0.259067,0.326590
5,test6.txt,qwen_only_cases,"Дудь: 6. Забиралась ли ты в мобильничек когда-нибудь либо к парню, либо к мужу?","Но ведь бывает же, что девочка просто доверяет парню на 100%, и им это вполне комфортно?",0,0.648655,0.247977,0.287425,0.234480
6,test7.txt,qwen_only_cases,Дудь: 7. Ты прощала измену?,"А как вы думали, кто еще мог быть?",0,0.709860,0.400841,0.295082,0.532493
7,test8.txt,qwen_only_cases,"Дудь: 8. Ты не считаешь проблемой, когда у человека нет актёрского образования?",Но ты как тогда такая хорошая актриса?,0,0.668833,0.545485,0.324786,0.513063
8,test9.txt,qwen_only_cases,Дудь: 9. Ты позвонила?,"Какие именно расчехления? Вот расскажи, какие важные шаги ты сделала?",0,0.669019,0.365257,0.153846,0.567364
9,test9_10.txt,qwen_only_cases,Дудь: 10. А что ты увидела в Казахстане?,"А это такие древние, нереальные гиганты, которых даже трудно представить, сколько их возраст? Они как будто сказка живут в этом лесу. А как они выглядят с вершины горы?!?",0,0.639035,0.218875,0.161905,0.257003
10,test9_11.txt,qwen_only_cases,"Дудь: 11. Ты стала к ней ходить как к человеку, который может помочь разобраться в себе?",Так а как это всё-таки работает? И откуда у неё столько названий в одном флаконе?,0,0.649896,0.251228,0.284024,0.457694
11,test9_12.txt,qwen_only_cases,Дудь: 12. А это совпало с реализацией в профессии?,"А потом как это почувствовал окружающие? Может, они начали говорить какие-то комплименты или ты почувствовала изменения в поведении людей вокруг?",0,0.670095,0.373974,0.297436,0.487841
